prompt,completion
Question: How do I reset my Windows 10 password?,"To reset your Windows 10 password, follow these steps:
1. Press Win + I to open Settings. 
2. Click “Accounts,” then select “Sign-in options.” 
3. Under “Password,” click “Change,” verify your current password, then enter and confirm your new one. 
4. Click “Next” and “Finish,” then restart if prompted."
Question: How do I update device drivers on Windows 10?,"To update device drivers on Windows 10, follow these steps:
1. Right-click the Start button and choose “Device Manager.”
2. Expand the category for the device you want to update (e.g., “Display adapters”).
3. Right-click your device and select “Update driver.”
4. Choose “Search automatically for updated driver software.” Windows will find and install it if available.
5. If prompted, restart your PC to complete the installation."
Question: How do I fix a blue screen of death on Windows 10?,"To fix a Blue Screen of Death (BSOD) on Windows 10, follow these steps:
1. Take note of the stop code on the BSOD screen.
2. Restart into Safe Mode: Press and hold Shift while clicking “Restart” from the Power menu → Troubleshoot → Advanced options → Startup Settings → Restart → Enable Safe Mode.
3. In Safe Mode, open Device Manager (Win + X → Device Manager) and roll back or update any recently changed drivers.
4. Run System File Checker: open Command Prompt as admin and run `sfc /scannow`, then reboot.
5. If the issue persists, use System Restore: Control Panel → Recovery → Open System Restore → choose a restore point."
Question: How do I improve startup speed on Windows 10?,"To improve startup speed on Windows 10, follow these steps:
1. Open Task Manager (Ctrl + Shift + Esc) and go to the “Startup” tab. Disable non-essential startup apps.
2. Press Win + I → System → Power & sleep → Additional power settings → Choose what the power buttons do → Change settings that are currently unavailable → uncheck “Turn on fast startup,” then click Save changes.
3. Run Disk Cleanup (Win + R, type `cleanmgr`) and remove temporary files.
4. Open “Defragment and Optimize Drives” and optimize your HDD (if applicable).
5. Restart your PC and notice the improved startup time."
Question: How do I troubleshoot Wi-Fi connectivity on Windows 10?,"To troubleshoot Wi-Fi connectivity on Windows 10, follow these steps:
1. Click the Network icon in the taskbar, select your Wi-Fi SSID, click “Disconnect,” then “Connect.”
2. Go to Settings → Network & Internet → Status → Network troubleshooter and follow prompts.
3. Open Device Manager (Win + X → Device Manager) → Network adapters → right-click your Wi-Fi adapter → Update driver → Search automatically.
4. Restart your router and PC.
5. In Command Prompt (admin), run `ipconfig /release`, `ipconfig /renew`, and `ipconfig /flushdns`."
Question: How do I configure a VPN on Windows 10?,"To configure a VPN on Windows 10, follow these steps:
1. Gather your VPN details (server address, VPN type, username, password, and pre-shared key).
2. Press Win + I → Network & Internet → VPN → Add a VPN connection.
3. Under “VPN provider,” select “Windows (built-in).” Enter Connection name, Server name/address, VPN type, and pre-shared key if needed. Fill in Username and Password. Click Save.
4. On the “VPN” page, click your new connection → Connect.
5. If connection fails, run the network troubleshooter: Settings → Update & Security → Troubleshoot → Internet Connections."
Question: How do I install Windows 10 updates manually?,"To install Windows 10 updates manually, follow these steps:
1. Press Win + I → Update & Security → Windows Update → Check for updates. 
2. If that fails, visit the Microsoft Update Catalog (https://www.catalog.update.microsoft.com/) and search for the KB number.
3. Download the appropriate x64 or x86 package.
4. Run the downloaded .msu file, follow prompts, and reboot when asked.
5. Confirm installation via Windows Update → View update history."
Question: How do I fix audio not working on Windows 10?,"To fix audio issues on Windows 10, follow these steps:
1. Right-click the speaker icon → Open Sound settings → ensure the correct output device is selected.
2. Right-click the speaker icon → Open Volume mixer → ensure none are muted.
3. Open Device Manager → Sound, video and game controllers → right-click your audio device → Update driver → Search automatically → Restart if prompted.
4. If still no sound, right-click the audio device → Disable device → Enable device.
5. In Command Prompt (Admin), run `sfc /scannow` to repair system files → Reboot."
Question: How do I recover deleted files on Windows 10?,"To recover deleted files on Windows 10, follow these steps:
1. Check the Recycle Bin → right-click the file → Restore.
2. If not found, navigate to the original folder → right-click → Properties → Previous Versions → select a snapshot → Restore.
3. If “Previous Versions” is disabled, download Recuva (https://www.ccleaner.com/recuva), install, select file type and original location → Scan → Recover.
4. Save recovered files to a different drive.
5. Regularly back up important files to OneDrive or an external drive."
Question: How do I use System Restore on Windows 10?,"To use System Restore on Windows 10, follow these steps:
1. Press Win + R, type `rstrui`, and press Enter.
2. Click Next → choose a restore point dated before the issue → Next → Finish.
3. Your PC will reboot and apply the restore.
4. Once complete, sign in and review the results.
5. If needed, repeat and select an earlier restore point."
Question: How do I disable automatic updates on Windows 10?,"To disable automatic updates on Windows 10, follow these steps:
1. Press Win + R, type `services.msc`, and press Enter.
2. Find “Windows Update,” right-click → Properties → Startup type → Disabled → Stop → Apply → OK.
3. (Optional) In Group Policy Editor (Win + R → `gpedit.msc`), navigate to Computer Configuration → Administrative Templates → Windows Components → Windows Update → Configure Automatic Updates → Disabled → Apply → OK.
4. Verify no updates are automatically downloaded."
Question: How do I enable Dark Mode in Windows 10?,"To enable Dark Mode on Windows 10, follow these steps:
1. Press Win + I → Personalization → Colors.
2. Under “Choose your default app mode,” select “Dark.”
3. To apply Dark Mode to File Explorer, under “Choose your default Windows mode,” select “Dark.”
4. Your apps and File Explorer will switch to dark theme."
